Platebound,Stepclass,Lon1,Lat1,Lon2,Lat2,Vel_mm_per_yr,Vel_azimuth_deg,Vel_divergent_mm_per_yr,Vel_rightlateral_mm_per_yr,Step_azimuth_deg,Steplength_km
SU/AU,SUB,104.576,-8.167,104.981,-8.569,56.3,191.0,-46.6,31.6,135.0,63.1
SU/AU,SUB,104.981,-8.569,105.59,-8.926,56.9,191.0,-53.6,19.1,121.0,77.8
SU/AU,SUB,105.59,-8.926,106.123,-9.24,57.4,191.0,-54.1,19.2,121.0,68.1
SU/AU,SUB,106.123,-9.24,106.345,-9.371,57.8,191.0,-54.5,19.5,121.0,28.4
SU/AU,SUB,106.345,-9.371,106.827,-9.665,58.2,191.0,-54.6,20.2,122.0,62.2
SU/AU,SUB,106.827,-9.665,107.379,-9.89,58.7,191.0,-57.6,11.2,112.0,65.5
SU/AU,SUB,107.379,-9.89,107.836,-10.053,59.2,191.0,-58.5,8.7,110.0,53.2
SU/AU,SUB,107.836,-10.053,108.363,-10.178,59.6,191.0,-59.6,2.2,104.0,59.3
SU/AU,SUB,108.363,-10.178,109.067,-10.328,60.2,191.0,-60.2,1.0,102.0,78.8
SU/AU,SUB,109.067,-10.328,109.626,-10.371,60.7,191.0,-60.3,-7.0,95.0,61.3
SU/AU,SUB,109.626,-10.371,110.159,-10.44,61.2,191.0,-61.1,-3.8,97.0,58.8
SU/AU,SUB,110.159,-10.44,110.615,-10.477,61.6,191.0,-61.3,-6.6,95.0,50.0
SU/AU,SUB,110.615,-10.477,111.015,-10.477,62.0,191.0,-60.9,-11.6,90.0,43.7
SU/AU,SUB,111.015,-10.477,111.523,-10.577,62.4,191.0,-62.4,0.7,101.0,56.6
SU/AU,SUB,111.523,-10.577,112.17,-10.652,62.8,191.0,-62.7,-4.2,97.0,71.2
SU/AU,SUB,112.17,-10.652,112.563,-10.758,63.3,190.0,-63.0,5.4,105.0,44.5
SU/AU,SUB,112.563,-10.758,113.204,-10.87,63.7,190.0,-63.7,-0.3,100.0,71.1
SU/AU,SUB,113.204,-10.87,113.756,-10.964,64.2,190.0,-64.2,-0.5,100.0,61.2
SU/AU,SUB,113.756,-10.964,114.41,-11.088,64.6,190.0,-64.6,1.0,101.0,72.7
SU/AU,SUB,114.41,-11.088,115.013,-11.151,65.1,190.0,-65.0,-4.5,96.0,66.2
SU/AU,SUB,115.013,-11.151,115.571,-11.219,65.6,190.0,-65.5,-3.1,97.0,61.3
SU/AU,SUB,115.571,-11.219,116.174,-11.275,66.0,190.0,-65.8,-5.0,95.0,66.1
SU/AU,SUB,116.174,-11.275,116.853,-11.331,66.5,190.0,-66.2,-5.5,95.0,74.3
SU/AU,SUB,116.853,-11.331,117.576,-11.337,67.0,189.0,-66.2,-10.3,91.0,78.8
SU/AU,SUB,117.576,-11.337,118.236,-11.387,67.5,189.0,-67.2,-5.6,94.0,72.2
SU/AU,SUB,118.236,-11.387,118.75,-11.362,67.9,189.0,-66.4,-13.9,87.0,56.1
SU/AU,SUB,118.75,-11.362,119.27,-11.393,68.2,189.0,-67.9,-6.4,93.0,56.8
SU/AU,SUB,119.27,-11.393,119.841,-11.462,68.6,189.0,-68.5,-2.1,97.0,62.7
SU/AU,SUB,119.841,-11.462,120.451,-11.524,69.0,189.0,-68.9,-3.2,96.0,66.8
SU/AU,SUB,120.451,-11.524,120.886,-11.493,69.3,188.0,-67.6,-15.2,86.0,47.5
TI-AU,OCB,120.886,-11.493,121.11,-11.493,29.2,199.0,-27.7,-9.3,90.0,24.4
TI-AU,OCB,121.11,-11.493,121.783,-11.412,27.8,200.0,-24.9,-12.5,83.0,73.9
TI-AU,CCB,121.783,-11.412,122.627,-11.188,25.7,203.0,-20.3,-15.7,75.0,95.3
TI-AU,CCB,122.627,-11.188,123.217,-10.995,23.8,206.0,-17.0,-16.7,72.0,67.9
TI-AU,CCB,123.217,-10.995,123.96,-10.708,22.3,210.0,-13.8,-17.5,69.0,87.2
TI-AU,CCB,123.96,-10.708,124.734,-10.39,20.7,216.0,-10.7,-17.7,67.0,91.7
TI-AU,OTF,124.734,-10.39,125.159,-10.159,19.8,222.0,-6.6,-18.6,61.0,53.1
TI-AU,OTF,125.159,-10.159,125.482,-9.984,19.3,225.0,-5.2,-18.6,61.0,40.4
TI-AU,CTF,125.482,-9.984,125.869,-9.784,19.0,229.0,-4.3,-18.5,62.0,47.9
TI-AU,CTF,125.869,-9.784,126.333,-9.596,18.6,234.0,-4.5,-18.1,68.0,55.0
TI-AU,OTF,126.333,-9.596,126.853,-9.39,18.3,239.0,-2.9,-18.0,68.0,61.5
TI-AU,OTF,126.853,-9.39,127.43,-9.221,18.0,245.0,-2.6,-17.8,73.0,66.0
TI-AU,OTF,127.43,-9.221,127.9,-9.133,17.7,251.0,-2.7,-17.5,79.0,52.5
TI-AU,OTF,127.9,-9.133,128.376,-9.095,17.5,256.0,-3.0,-17.2,85.0,52.4
