Jenis,Jarak_km,Kedalaman_km
gempa,108.0,-60.4
gempa,108.4,-53.3
gempa,109.6,-33.0
gempa,112.0,-54.8
gempa,112.2,-40.9
gempa,112.3,-33.7
gempa,112.9,-24.2
gempa,113.2,-58.5
gempa,114.7,-46.3
gempa,115.9,-39.2
gempa,117.6,-58.6
gempa,117.6,-34.1
gempa,118.7,-51.8
gempa,119.0,-47.3
gempa,123.3,-42.2
gempa,124.7,-23.5
gempa,124.9,-30.5
gempa,131.3,-28.6
gempa,133.7,-15.4
gempa,136.7,-52.6
gempa,138.5,-69.9
gempa,141.3,-44.7
gempa,141.4,-40.0
gempa,144.4,-55.9
gempa,146.9,-46.2
gempa,150.4,-11.1
gempa,160.8,-47.9
gempa,160.8,-8.7
gempa,163.8,-75.7
gempa,169.1,-45.2
gempa,169.8,-40.0
gempa,175.1,-78.5
gempa,175.2,-13.7
gempa,175.6,-50.6
gempa,176.0,-39.2
gempa,176.9,-9.6
gempa,178.4,-20.4
gempa,178.8,-86.0
gempa,179.1,-54.3
gempa,180.2,-38.8
gempa,181.6,-10.1
gempa,181.9,-35.3
gempa,186.5,-84.8
gempa,192.8,-90.6
gempa,196.0,-95.6
gempa,198.6,-92.2
gempa,203.7,-24.7
gempa,210.0,-106.6
gempa,212.0,-95.6
gempa,215.2,-69.5
gempa,231.8,-14.8
gempa,233.2,-40.3
gempa,234.8,-14.3
gempa,241.3,-19.3
gempa,241.3,-11.1
gempa,253.0,-41.3
gempa,258.6,-14.8
gempa,363.0,-4.9
lelehan,231.7,-26.9
lelehan,232.6,-30.3
lelehan,233.1,-35.4
lelehan,236.5,-25.2
lelehan,236.9,-32.4
lelehan,237.0,-41.4
lelehan,239.7,-37.5
lelehan,240.2,-24.7
lelehan,242.9,-26.9
lelehan,243.0,-21.5
lelehan,245.0,-24.3
lelehan,246.6,-32.8
lelehan,246.9,-19.9
lelehan,250.1,-14.3
lelehan,251.3,-22.1
lelehan,251.8,-18.4
lelehan,255.6,-25.5
lelehan,258.6,-22.4
lelehan,261.2,-25.0
lelehan,261.3,-17.0
lelehan,262.7,-21.6
lelehan,265.1,-15.7
