Source_ID,Region,Main,Segment,Type,Dip_raw,Length_km,Width_km,Mmax,Sliprate,Status,N_vertex,Coords_lonlat
BAN01,Bali-NT-Banda-Maluku,Flores Back-arc Thrust,Bali,R,45S,153.0,30.0,7.6,7,Data Updated,5,"114.09223,-7.48792 114.38041,-7.43961 114.71663,-7.51208 115.05284,-7.63285 115.38906,-7.80193"
BAN02,Bali-NT-Banda-Maluku,Lombok Strait Strike-slip Fault,Lombok North,SS,90,157.0,20.0,7.6,0.5,No Update,7,"115.70588,-9.09453 115.71989,-8.94569 115.74630,-8.79416 115.77394,-8.61474 115.80384,-8.46250 115.86365,-8.28308 116.05667,-7.74209"
BAN03,Bali-NT-Banda-Maluku,Lombok Strait Strike-slip Fault,Lombok Central,SS,90,134.0,20.0,7.5,0.5,No Update,11,"115.66464,-9.06514 115.62575,-9.16122 115.60630,-9.21612 115.58343,-9.28589 115.57199,-9.38769 115.54111,-9.44373 115.47934,-9.51350 115.40157,-9.67249 115.39814,-9.67363 115.29863,-9.86807 115.14307,-10.12542"
BAN04,Bali-NT-Banda-Maluku,Flores Back-arc Thrust,Lombok Sumbawa,R,45S,312.0,20.0,7.9,10,No Update,8,"118.65515,-7.94686 118.03075,-7.89855 117.31029,-7.97101 116.90202,-8.16425 116.75793,-7.92271 116.46975,-8.11594 116.13353,-7.89855 116.06149,-7.92271"
BAN05,Bali-NT-Banda-Maluku,Flores Back-arc Thrust,Lombok,R,45S,101.0,30.0,6.9,10,New,5,"114.98080,-7.99517 115.19694,-7.97101 115.43709,-8.01932 115.65323,-8.11594 115.89338,-8.21256"
BAN06,Bali-NT-Banda-Maluku,Sumbawa Strait Strike-slip Fault,Sumbawa North,SS,90,79.0,30.0,7.2,0.5,No Update,6,"116.56823,-8.96862 116.59899,-8.87355 116.70524,-8.64706 116.75278,-8.52543 116.80031,-8.41499 116.84505,-8.31573"
BAN07,Bali-NT-Banda-Maluku,Sumbawa Strait Strike-slip Fault,Sumbawa Central,SS,90,105.0,20.0,7.4,0.5,No Update,5,"116.54920,-9.01693 116.44730,-9.22819 116.28575,-9.49165 116.18633,-9.64574 116.09686,-9.83463"
BAN08,Bali-NT-Banda-Maluku,Sumbawa Strait Strike-slip Fault,Sumbawa South 1,SS,90,48.0,30.0,6.9,0.5,No Update,4,"115.92843,-10.27171 115.99802,-10.14909 116.04442,-10.02979 116.08750,-9.88067"
BAN09,Bali-NT-Banda-Maluku,Sumbawa Strait Strike-slip Fault,Sumbawa South 2,SS,90,41.0,20.0,6.8,0.5,No Update,5,"115.80709,-10.66116 115.83540,-10.58881 115.86686,-10.51017 115.88363,-10.43572 115.91719,-10.31724"
BAN10,Bali-NT-Banda-Maluku,Teluk Panas Fault,Teluk Panas Fault,SS,90,177.0,30.0,7.5,0.5,No Update,4,"134.21709,-4.20290 135.39384,-4.08213 135.41786,-3.96135 135.15369,-3.93720"
BAN11,Bali-NT-Banda-Maluku,Nusa Tenggara Oceanic Normal Fault,Nusa Tenggara Oceanic Normal Fault,N,60N,569.0,20.0,7.9,0.5,No Update,16,"114.43475,-11.35056 114.68467,-11.39932 115.06259,-11.47247 115.36127,-11.54561 115.82453,-11.58218 116.34264,-11.60047 116.94000,-11.51513 117.46421,-11.36884 117.74460,-11.32617 118.02499,-11.35056 118.34196,-11.36884 118.70159,-11.38713 118.93932,-11.38713 119.14047,-11.39932 119.35991,-11.41761 119.49401,-11.41151"
BAN12,Bali-NT-Banda-Maluku,Sape Strike-slip,Sape Strike-slip,SS,90,55.0,18.0,7.0,0.5,No Update,2,"116.61384,-1.37681 117.02210,-1.18357"
BAN13,Bali-NT-Banda-Maluku,Bondowatu Fault,Bondowatu Fault,N,60S,45.0,25.0,6.6,0.5,No Update,2,"119.37561,-9.78261 119.01538,-9.66184"
BAN14,Bali-NT-Banda-Maluku,Waikabubak,Waikabubak,N,60S,232.0,20.0,7.4,0.5,New,10,"118.48704,-9.54106 118.75121,-9.54106 118.99136,-9.61353 119.23151,-9.71014 119.47167,-9.78261 119.71182,-9.85507 119.95197,-9.97585 120.12008,-10.12077 120.24016,-10.26570 120.31220,-10.41063"
BAN15,Bali-NT-Banda-Maluku,Sumba Strike-slip,Sumba 1,SS,90,85.0,20.0,7.3,0.5,No Update,11,"119.74724,-11.34046 119.75248,-11.38665 119.76676,-11.44617 119.77438,-11.49570 119.77248,-11.49475 119.79438,-11.58617 119.81200,-11.66284 119.82248,-11.72618 119.82867,-11.76522 119.85211,-11.91644 119.87412,-12.07560"
BAN16,Bali-NT-Banda-Maluku,Sumba Strike-slip,Sumba 2,SS,90,42.0,20.0,6.9,0.5,No Update,7,"119.73242,-10.95459 119.73263,-11.03173 119.73425,-11.08173 119.74819,-11.17427 119.74391,-11.21808 119.74200,-11.27760 119.74533,-11.32998"
BAN17,Bali-NT-Banda-Maluku,Sumba Strike-slip,Sumba 3,SS,90,26.0,20.0,6.6,0.5,No Update,5,"119.71967,-10.94104 119.70781,-10.89956 119.71628,-10.85045 119.69935,-10.78358 119.68242,-10.71754"
BAN18,Bali-NT-Banda-Maluku,Sumba Strike-slip,Sumba 4,SS,90,32.0,20.0,6.7,0.5,No Update,4,"119.65928,-10.68312 119.63557,-10.57814 119.60510,-10.50929 119.56672,-10.41673"
BAN19,Bali-NT-Banda-Maluku,Sumba Strike-slip,Sumba 5,SS,90,47.0,20.0,6.9,0.5,No Update,3,"119.55167,-10.38613 119.48144,-10.13730 119.42324,-9.98881"
BAN20,Bali-NT-Banda-Maluku,Sumba Ridge Thrust,Sumba Ridge Thrust,R,45NW,186.0,20.0,7.7,35,No Update,12,"119.85842,-10.45264 120.03760,-10.49419 120.30247,-10.48380 120.47385,-10.44744 120.54137,-10.46822 120.60109,-10.53833 120.74132,-10.53314 120.89453,-10.45523 121.06072,-10.39551 121.22691,-10.30982 121.29183,-10.27086 121.32818,-10.14882"
BAN21,Bali-NT-Banda-Maluku,Savu Thrust,Savu Thrust,N,45SW,115.0,20.0,7.0,35,No Update,6,"121.48896,-10.19324 121.63305,-10.09662 121.87320,-10.04831 122.11336,-10.09662 122.30548,-10.21739 122.42555,-10.28986"
BAN22,Bali-NT-Banda-Maluku,Savu Ridge Thrust,Savu Ridge Thrust,N,45NW,111.0,20.0,7.0,35,No Update,3,"122.47359,-7.68116 121.99328,-7.41546 121.63305,-7.34300"
BAN23,Bali-NT-Banda-Maluku,Flores Back-arc Thrust,Nusa Tenggara Barat,R,45S,219.0,20.0,7.8,11,No Update,21,"121.43296,-8.24535 121.34810,-8.23763 121.24396,-8.19135 121.05111,-8.16049 120.95468,-8.14507 120.83897,-8.13349 120.74254,-8.11035 120.65769,-8.10649 120.59983,-8.05250 120.55741,-8.02550 120.50341,-8.02164 120.43398,-7.98693 120.35298,-7.98307 120.27584,-8.01392 120.21027,-8.03707 120.09841,-8.02550 119.97113,-8.01778 119.83999,-8.01778 119.75128,-8.00235 119.60857,-8.00235 119.53528,-8.01392"
BAN24,Bali-NT-Banda-Maluku,Flores Back-arc Thrust,Nusa Tenggara Tengah,R,45S,174.0,20.0,7.7,11,No Update,14,"122.99667,-8.01845 122.95060,-7.96470 122.87381,-7.88791 122.82006,-7.87256 122.73559,-7.83416 122.58202,-7.84952 122.45148,-7.89559 122.25183,-7.96470 122.10593,-7.98774 121.95235,-8.03381 121.81413,-8.06453 121.72199,-8.11060 121.69895,-8.13364 121.57609,-8.21810"
BAN25,Bali-NT-Banda-Maluku,Flores Back-arc Thrust,Nusa Tenggara Timur,R,45S,238.0,20.0,7.8,11,No Update,3,"125.49952,-8.14010 124.73103,-7.99517 123.53026,-8.11594"
BAN26,Bali-NT-Banda-Maluku,Flores Back-arc Thrust,Wetar,R,45S,218.0,20.0,7.8,36,No Update,26,"126.87888,-7.56104 126.82837,-7.53712 126.75659,-7.47863 126.71671,-7.44938 126.67683,-7.42546 126.64227,-7.40419 126.58910,-7.39356 126.54125,-7.38558 126.49340,-7.40153 126.44023,-7.45736 126.40301,-7.49192 126.35515,-7.50787 126.31528,-7.50521 126.22223,-7.48660 126.11589,-7.48926 126.01486,-7.50787 125.93511,-7.52914 125.86599,-7.56902 125.80484,-7.62750 125.72243,-7.76043 125.65331,-7.89070 125.58684,-7.98374 125.51241,-8.07413 125.42999,-8.13262 125.39809,-8.16186 125.33694,-8.19377"
BAN27,Bali-NT-Banda-Maluku,Semau Fault,Semau South,SS,90,230.0,20.0,7.8,11,No Update,13,"121.84329,-12.02994 121.97654,-11.83958 122.05268,-11.60164 122.09075,-11.41128 122.17642,-11.29706 122.30967,-11.15430 122.40484,-11.01153 122.43340,-10.90683 122.46195,-10.75455 122.49050,-10.56419 122.50002,-10.43094 122.59520,-10.27865 122.63327,-10.19299"
BAN28,Bali-NT-Banda-Maluku,Semau Fault,Semau North,SS,90,360.0,20.0,8.1,11,No Update,16,"125.37441,-8.25135 125.32682,-8.34653 125.12695,-8.52737 124.96514,-8.61303 124.85093,-8.73676 124.74623,-8.85098 124.52732,-8.95567 124.25131,-9.06037 123.94673,-9.16507 123.69927,-9.30783 123.50891,-9.40301 123.32807,-9.55530 123.17579,-9.72662 123.04254,-9.87891 122.94736,-10.01216 122.87122,-10.14541"
BAN29,Bali-NT-Banda-Maluku,Kalatoa,Kalatoa,SS-RL,90,204.0,20.0,7.8,2,New,6,"121.08070,-7.17391 121.44093,-7.24638 121.82517,-7.36715 122.20942,-7.48792 122.59366,-7.63285 122.92988,-7.75362"
BAN30,Bali-NT-Banda-Maluku,Timor FTB,Timor FTB South,R,45N,256.0,20.0,7.9,5,No Update,6,"122.83382,-10.94203 123.31412,-10.89372 123.79443,-10.74879 124.27474,-10.57971 124.75504,-10.26570 125.01727,-10.10759"
BAN31,Bali-NT-Banda-Maluku,Timor FTB,Timor FTB Central,R,45N,349.0,20.0,8.0,5,No Update,8,"125.01727,-10.10759 125.23535,-9.97585 125.71566,-9.83092 126.19596,-9.68599 126.67627,-9.56522 127.15658,-9.42029 127.63689,-9.25121 128.06172,-9.08032"
BAN32,Bali-NT-Banda-Maluku,Timor FTB,Timor FTB North,R,45N,393.0,20.0,8.0,5,No Update,9,"128.06172,-9.08032 128.11719,-9.05797 128.59750,-8.86473 129.07781,-8.67150 129.55811,-8.47826 130.03842,-8.33333 130.51873,-8.21256 130.99903,-8.09179 131.47934,-7.97101"
BAN33,Bali-NT-Banda-Maluku,Tanimbar FTB,Tanimbar FTB North,R,,189.0,20.0,7.8,0.1 & 0.5,Data Updated,5,"129.81422,-8.75211 130.03842,-8.69565 130.51873,-8.59903 130.99903,-8.40580 131.47934,-8.09179"
BAN34,Bali-NT-Banda-Maluku,Tanimbar FTB,Tanimbar FTB South,R,,291.0,20.0,8.0,2.5,Data Updated,7,"127.15658,-9.61353 127.63689,-9.49275 128.11719,-9.29952 128.59750,-9.13043 129.07781,-8.96135 129.55811,-8.81643 129.81422,-8.75211"
BAN35,Bali-NT-Banda-Maluku,Leti Thrust,Leti Thrust,R,45N,100.0,20.0,7.3,0.5,Data Updated,5,"127.51681,-8.23671 127.73295,-8.23671 127.94908,-8.28502 128.16522,-8.30918 128.38136,-8.35749"
BAN36,Bali-NT-Banda-Maluku,Tanimbar Fault,Tanimbar 1,SS,90,125.0,20.0,7.5,0.5,No Update,5,"131.48590,-6.44014 131.74878,-6.58458 131.94234,-6.62792 132.24567,-6.61925 132.56633,-6.59903"
BAN37,Bali-NT-Banda-Maluku,Tanimbar Fault,Tanimbar 2,SS,90,89.0,20.0,7.3,0.5,No Update,6,"131.06244,-7.18801 130.95684,-6.96548 130.87763,-6.79199 130.81352,-6.67130 130.75694,-6.58456 130.68906,-6.47895"
BAN38,Bali-NT-Banda-Maluku,Tanimbar Fault,Tanimbar 3,SS,90,110.0,20.0,7.4,0.5,No Update,6,"131.05394,-7.37358 130.80548,-7.28351 130.55082,-7.17481 130.43590,-7.07543 130.34584,-7.02264 130.18434,-6.91704"
BAN39,Bali-NT-Banda-Maluku,Tanimbar Fault,Tanimbar 4,SS,90,132.0,20.0,7.6,0.5,No Update,7,"129.65942,-7.35773 129.80651,-7.48973 130.03280,-7.64814 130.25533,-7.77260 130.37602,-7.83294 130.53819,-7.94232 130.64380,-8.01398"
BAN40,Bali-NT-Banda-Maluku,Tanimbar Fault,Tanimbar 5,SS,90,101.0,20.0,7.4,0.5,No Update,6,"130.04035,-7.84803 129.84423,-7.71603 129.61416,-7.65568 129.47461,-7.62174 129.36147,-7.55385 129.23323,-7.45956"
BAN41,Bali-NT-Banda-Maluku,Banda Detachment,Banda South,N,10W,376.0,30.0,7.6,6,New,9,"127.75696,-8.16425 128.11719,-7.99517 128.47742,-7.75362 128.83765,-7.43961 129.19788,-7.14976 129.55811,-6.83575 129.91834,-6.54589 130.27857,-6.23188 130.45420,-6.01114"
BAN42,Bali-NT-Banda-Maluku,Banda Detachment,Banda North,N,10W,189.0,30.0,7.3,6,New,6,"130.45420,-6.01114 130.56676,-5.86957 130.80691,-5.50725 130.90297,-5.14493 130.90297,-4.78261 130.75888,-4.42029"
BAN43,Bali-NT-Banda-Maluku,Seram FTB,West Kai,R,45W,250.0,30.0,7.9,20,Data Updated,6,"132.86131,-4.79693 132.89457,-5.17241 132.75727,-5.63218 132.58565,-6.09195 132.41403,-6.55172 132.39115,-7.01149"
