Source_ID,Region,Main,Segment,Type,Status,Length_km,Width_km,Dip_raw,Mmax,Trace_version,Polygon_method_version,Base_r_km,Dip_deg_parsed,Dip_dir_parsed,Hproj_km,Updip_extent_km,Downdip_extent_km,Rule_mode,Dip_class,Area_km2,Overlap_pair_n,Overlap_area_sum_km2,Overlap_area_sum_frac_of_polygon,Trace_covered,Polygon_valid,Polygon_locked
BAN01,Bali-NT-Banda-Maluku,Flores Back-arc Thrust,Bali,R,Data Updated,153.0,30.0,45S,7.6,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,S,21.2132,5.0,26.2132,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,4585.5079,3,1746.7464,0.3809,True,True,True
BAN02,Bali-NT-Banda-Maluku,Lombok Strait Strike-slip Fault,Lombok North,SS,No Update,157.0,20.0,90,7.6,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,1630.2608,3,258.1113,0.1583,True,True,True
BAN03,Bali-NT-Banda-Maluku,Lombok Strait Strike-slip Fault,Lombok Central,SS,No Update,134.0,20.0,90,7.5,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,1396.881,1,48.34,0.0346,True,True,True
BAN04,Bali-NT-Banda-Maluku,Flores Back-arc Thrust,Lombok Sumbawa,R,No Update,312.0,20.0,45S,7.9,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,S,14.1421,5.0,19.1421,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,7658.5813,2,67.3969,0.0088,True,True,True
BAN05,Bali-NT-Banda-Maluku,Flores Back-arc Thrust,Lombok,R,New,101.0,30.0,45S,6.9,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,S,21.2132,5.0,26.2132,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,3209.9538,2,287.3129,0.0895,True,True,True
BAN06,Bali-NT-Banda-Maluku,Sumbawa Strait Strike-slip Fault,Sumbawa North,SS,No Update,79.0,30.0,90,7.2,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,862.8576,2,73.7834,0.0855,True,True,True
BAN07,Bali-NT-Banda-Maluku,Sumbawa Strait Strike-slip Fault,Sumbawa Central,SS,No Update,105.0,20.0,90,7.4,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,1111.9341,2,53.3645,0.048,True,True,True
BAN08,Bali-NT-Banda-Maluku,Sumbawa Strait Strike-slip Fault,Sumbawa South 1,SS,No Update,48.0,30.0,90,6.9,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,546.9825,2,58.0,0.106,True,True,True
BAN09,Bali-NT-Banda-Maluku,Sumbawa Strait Strike-slip Fault,Sumbawa South 2,SS,No Update,41.0,20.0,90,6.8,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,478.2517,1,29.0418,0.0607,True,True,True
BAN10,Bali-NT-Banda-Maluku,Teluk Panas Fault,Teluk Panas Fault,SS,No Update,177.0,30.0,90,7.5,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,1813.096,4,874.1151,0.4821,True,True,True
BAN11,Bali-NT-Banda-Maluku,Nusa Tenggara Oceanic Normal Fault,Nusa Tenggara Oceanic Normal Fault,N,No Update,569.0,20.0,60N,7.9,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,60.0,N,10.0,5.0,15.0,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,11219.8808,0,0.0,0.0,True,True,True
BAN12,Bali-NT-Banda-Maluku,Sape Strike-slip,Sape Strike-slip,SS,No Update,55.0,18.0,90,7.0,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,580.5087,3,484.602,0.8348,True,True,True
BAN13,Bali-NT-Banda-Maluku,Bondowatu Fault,Bondowatu Fault,N,No Update,45.0,25.0,60S,6.6,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,60.0,S,12.5,5.0,17.5,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,1017.2173,1,785.9453,0.7726,True,True,True
BAN14,Bali-NT-Banda-Maluku,Waikabubak,Waikabubak,N,New,232.0,20.0,60S,7.4,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,60.0,S,10.0,5.0,15.0,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,4618.7481,2,1114.275,0.2413,True,True,True
BAN15,Bali-NT-Banda-Maluku,Sumba Strike-slip,Sumba 1,SS,No Update,85.0,20.0,90,7.3,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,904.298,1,66.6765,0.0737,True,True,True
BAN16,Bali-NT-Banda-Maluku,Sumba Strike-slip,Sumba 2,SS,No Update,42.0,20.0,90,6.9,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,495.1594,2,125.2367,0.2529,True,True,True
BAN17,Bali-NT-Banda-Maluku,Sumba Strike-slip,Sumba 3,SS,No Update,26.0,20.0,90,6.6,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,332.6133,2,92.9327,0.2794,True,True,True
BAN18,Bali-NT-Banda-Maluku,Sumba Strike-slip,Sumba 4,SS,No Update,32.0,20.0,90,6.7,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,391.189,2,76.0788,0.1945,True,True,True
BAN19,Bali-NT-Banda-Maluku,Sumba Strike-slip,Sumba 5,SS,No Update,47.0,20.0,90,6.9,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,90.0,,0.0,5.0,5.0,VERTICAL_NEAR_VERTICAL_SYMMETRIC_R,VERTICAL_NEAR_VERTICAL,540.3901,1,41.7063,0.0772,True,True,True
BAN20,Bali-NT-Banda-Maluku,Sumba Ridge Thrust,Sumba Ridge Thrust,R,No Update,186.0,20.0,45NW,7.7,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,NW,14.1421,5.0,19.1421,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,4210.5842,1,328.3297,0.078,True,True,True
BAN21,Bali-NT-Banda-Maluku,Savu Thrust,Savu Thrust,N,No Update,115.0,20.0,45SW,7.0,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,SW,14.1421,5.0,19.1421,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,2611.4337,0,0.0,0.0,True,True,True
BAN22,Bali-NT-Banda-Maluku,Savu Ridge Thrust,Savu Ridge Thrust,N,No Update,111.0,20.0,45NW,7.0,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,NW,14.1421,5.0,19.1421,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,2573.5471,1,1044.5249,0.4059,True,True,True
BAN23,Bali-NT-Banda-Maluku,Flores Back-arc Thrust,Nusa Tenggara Barat,R,No Update,219.0,20.0,45S,7.8,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,S,14.1421,5.0,19.1421,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,5260.2806,0,0.0,0.0,True,True,True
BAN24,Bali-NT-Banda-Maluku,Flores Back-arc Thrust,Nusa Tenggara Tengah,R,No Update,174.0,20.0,45S,7.7,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,S,14.1421,5.0,19.1421,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,3993.4065,0,0.0,0.0,True,True,True
BAN25,Bali-NT-Banda-Maluku,Flores Back-arc Thrust,Nusa Tenggara Timur,R,No Update,238.0,20.0,45S,7.8,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,S,14.1421,5.0,19.1421,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,5321.469,2,503.3778,0.0946,True,True,True
BAN26,Bali-NT-Banda-Maluku,Flores Back-arc Thrust,Wetar,R,No Update,218.0,20.0,45S,7.8,BAN_REGION_TRACE_V1,PUSGEN2024_POLYGON_METHOD_V1,5,45.0,S,14.1421,5.0,19.1421,DIP_AWARE_R_PLUS_WCOSDIP,NONVERTICAL_KNOWN_DIRECTION,5126.3666,2,470.5193,0.0918,True,True,True
