feature,importance
time_duration_above_mean_abs,0.060172368
freq_duration_above_mean_abs,0.054823313
freq_renyi_entropy_alpha2,0.047049418
time_std_to_mean_abs,0.035678692
freq_shannon_entropy,0.03245033
ceps_peak_to_rms,0.023019407
ceps_q05,0.022664722
time_rms_bandwidth,0.02252225
ceps_q75,0.022219747
time_energy_first_third_ratio,0.01958896
time_length,0.019384418
time_q25,0.019226788
time_q75,0.018954828
time_zero_crossing_rate,0.018325383
ceps_rate_attack,0.017138753
ceps_energy_kurtosis,0.016600927
freq_skewness,0.016541678
time_peak_to_mean_abs,0.016289147
time_shannon_entropy,0.016142031
time_rate_decay,0.016009532
freq_rate_attack,0.015905079
time_i_max_norm,0.015323598
ceps_duration_above_mean_abs,0.014628019
time_renyi_entropy_alpha2,0.013814006
time_energy_kurtosis,0.013808579
time_kurtosis,0.013539771
freq_rate_decay,0.013210289
time_energy_skewness,0.013140289
freq_max,0.012343553
ceps_renyi_entropy_alpha2,0.012188059
ceps_zero_crossing_rate,0.011585898
ceps_min,0.011477203
time_energy_middle_third_ratio,0.01128363
freq_kurtosis,0.0112338485
freq_zero_crossing_rate,0.01098149
time_q05,0.010466966
freq_peak_abs,0.009792344
freq_mean_abs,0.009403212
ceps_energy_middle_third_ratio,0.009102082
ceps_rms_bandwidth,0.008881214
ceps_energy_last_third_ratio,0.008832479
freq_central_energy_index,0.008830617
ceps_peak_to_mean_abs,0.008721038
ceps_q95,0.008541551
time_energy_last_third_ratio,0.00850102
time_min,0.008348121
time_max,0.008132068
ceps_rate_decay,0.0079704365
time_skewness,0.007910838
time_peak_abs,0.0077869273
time_q95,0.0075408597
freq_duration_above_50pct_peak,0.0074603236
freq_i_max_norm,0.0073259743
ceps_mean,0.0072981655
time_mean,0.007232761
freq_peak_to_mean_abs,0.0072168373
freq_rms_bandwidth,0.007067362
time_median,0.007025292
ceps_duration_above_50pct_peak,0.0069416165
ceps_mean_abs,0.0064961864
ceps_energy_skewness,0.006364181
ceps_skewness,0.0059604887
time_rate_attack,0.0058954787
freq_energy_skewness,0.0057772053
time_peak_to_rms,0.005683853
ceps_median,0.005452539
time_central_energy_index,0.0050115855
time_i_min_norm,0.004527193
ceps_q25,0.004223498
freq_mean,0.0042183683
freq_min,0.003906455
ceps_kurtosis,0.0037669677
freq_median,0.0037252794
time_duration_above_50pct_peak,0.0036897624
ceps_central_energy_index,0.0036426676
ceps_shannon_entropy,0.0032794457
freq_q95,0.0027969482
freq_std_to_mean_abs,0.0021833961
ceps_energy_first_third_ratio,0.0021163535
ceps_max,0.0019097541
time_mean_abs,0.0014537007
ceps_std_to_mean_abs,0.0013738824
freq_q75,0.00094869646
freq_energy,0.0
freq_std,0.0
time_std,0.0
time_energy,0.0
freq_length,0.0
time_rms,0.0
ceps_std,0.0
ceps_length,0.0
freq_energy_last_third_ratio,0.0
freq_energy_middle_third_ratio,0.0
freq_energy_first_third_ratio,0.0
freq_rms,0.0
freq_peak_to_rms,0.0
freq_i_min_norm,0.0
freq_q05,0.0
freq_energy_kurtosis,0.0
freq_q25,0.0
ceps_energy,0.0
ceps_peak_abs,0.0
ceps_rms,0.0
ceps_i_min_norm,0.0
ceps_i_max_norm,0.0
