No;Date ;Time (UTC);Lat;Long;Depth;Mag (Mw)
1;02-Jan-98;11.57.18;-7.57;119.39;280;4.2
2;27-Jan-98;22.32.30;-9.52;113.6;35;4.6
3;05-Feb-98;21.40.15;-7.63;120.03;405;4.6
4;07-Mar-98;13.14.18;-9.76;117.07;20;4.7
5;29-Mar-98;05.14.20;-8.24;121.41;190;4.7
6;30-Mar-98;03.02.52;-9.78;119.07;31;5.1
7;21-Apr-98;16.44.17;-8.15;119.84;195;4.6
8;29-May-98;20.42.48;-7.97;117.5;245;4.6
9;31-May-98;01.08.44;-7.62;119.32;295;4.2
10;31-May-98;16.58.00;-7.26;120.23;590;4.7
11;26-Jul-98;10.30.13;-9.44;121.4;140;4.4
12;28-Jul-98;05.01.33;-7.2;120.37;595;4.9
13;04-Sep-98;01.17.09;-9.27;113.85;45;4.7
14;17-Oct-98;07.11.18;-11.73;117.09;26;4.9
15;25-Oct-98;19.22.21;-9.02;115.57;95;4.4
16;08-Nov-98;07.25.52;-9.2;121.39;54;6.4
17;12-Nov-98;19.19.32;-12.97;121.85;18;4.6
18;23-Nov-98;00.22.38;-7.64;117.16;280;4.2
19;26-Nov-98;09.56.00;-9.33;121.37;55;4.7
20;27-Nov-98;19.29.01;-9.15;118.43;65;4.8
21;05-Dec-98;01.20.57;-9.25;121.91;30;4.6
22;07-Dec-98;08.17.49;-7.08;120.31;595;4.3
23;07-Dec-98;23.37.08;-8.39;121.38;25;5.8
24;17-Dec-98;13.11.38;-8.3;118.47;193;4.7
25;13-Jan-99;13.09.21;-9.21;121.46;55;4.5
26;16-Jan-99;12.39.29;-9.02;117.96;95;4.7
27;22-Jan-99;22.43.01;-7.69;117.2;300;4.3
28;01-Feb-99;05.33.19;-7.22;120.37;590;4.3
29;04-Feb-99;12.57.24;-8.12;117.97;155;4.2
30;11-Feb-99;13.27.09;-8.69;120.43;127;4.7
31;20-Feb-99;17.17.13;-8.24;117.6;65;5.4
32;24-Mar-99;20.32.59;-7.08;116.98;612;5.2
33;31-Mar-99;20.59.06;-8.22;121.4;190;4.4
34;05-Apr-99;04.51.38;-9.85;119.28;50;4.6
35;22-Apr-99;14.08.46;-8.25;119.53;195;4.9
36;29-Apr-99;13.51.28;-8.21;120.63;160;4.1
37;20-May-99;12.16.55;-9.93;117.63;20;5.1
38;27-Jun-99;17.28.47;-9.74;118.09;35;4.7
39;19-Jul-99;05.00.56;-9.09;120.13;46;5.1
40;28-Aug-99;20.30.00;-7.78;116.24;295;4.5
41;31-Aug-99;15.21.58;-9.99;116.01;55;5.1
42;02-Oct-99;16.24.10;-7.59;118.69;550;4.3
43;03-Oct-99;00.29.46;-7.28;120.48;505;4.7
44;01-Nov-99;01.32.28;-9.79;114.04;30;4.7
45;05-Nov-99;17.04.03;-11.34;114.22;28;5.1
46;07-Nov-99;13.29.17;-7.87;117.64;19;4.7
47;06-Jan-00;04.31.59;-8.36;116.05;25;5.4
48;08-Jan-00;06.26.32;-11.42;117.06;24;5.3
49;16-Jan-00;09.09.35;-9.24;113.96;49;5
50;23-Jan-00;06.08.22;-7.95;120.59;11;5.8
51;23-Jan-00;08.03.03;-7.97;120.62;43;5.7
52;28-Jan-00;22.57.46;-9.61;118.61;19;5.4
53;01-Feb-00;12.39.45;-8.99;116.1;96;4.8
54;01-Apr-00;16.15.33;-8.22;118.77;33;4.8
55;03-Apr-00;01.08.32;-11.33;117.12;25;4.6
56;08-Apr-00;08.40.01;-10.58;120.4;30;4.3
57;08-Apr-00;10.24.34;-7.95;117.17;285;4.1
58;21-May-00;21.35.51;-8.31;119.91;195;4.2
59;23-May-00;19.29.56;-8.17;118.51;40;4.4
60;24-May-00;12.03.55;-9.44;114.03;71;4.7
61;28-May-00;00.59.39;-7.81;120.17;300;4
62;03-Jun-00;21.27.38;-8.51;118.38;115;4.4
63;12-Jun-00;22.26.01;-9.59;115.91;55;4.7
64;17-Jun-00;22.20.39;-7.29;119.55;415;4.2
65;07-Jul-00;00.15.39;-7.52;116.99;350;4.1
66;19-Aug-00;04.58.57;-9.42;117.7;70;4.6
67;25-Aug-00;01.14.11;-9.51;117.67;70;4.5
68;02-Sep-00;20.55.14;-7.28;119.84;530;4.2
69;10-Sep-00;10.12.33;-7.34;120.65;595;4.6
70;18-Sep-00;11.06.09;-9.12;118.66;85;4.4
71;29-Sep-00;14.36.44;-8.42;121.45;200;4.2
72;03-Oct-00;16.24.01;-9.28;113.95;45;4
73;07-Oct-00;11.57.41;-10.05;119.2;21;5.9
74;18-Oct-00;00.35.19;-9.63;118.8;65;4.4
75;30-Oct-00;12.01.33;-9.86;118.91;43;6
76;30-Oct-00;19.23.36;-9.93;118.77;30;4.5
77;01-Nov-00;22.04.31;-7.31;120.14;570;4.5
78;25-Nov-00;03.09.35;-9.31;122.1;76;4.6
79;27-Dec-00;02.31.38;-7.18;121.03;575;4.3
80;28-Dec-00;16.05.28;-8.15;117.86;26;5
81;11-Jan-01;00.40.09;-9.61;118.06;80;4.5
82;31-Jan-01;13.22.40;-8.85;119.13;110;5
83;06-Feb-01;07.25.15;-8.52;119.09;115;4.5
84;16-Feb-01;05.59.10;-7.15;117.42;515;5.9
85;27-Feb-01;06.33.59;-11.32;118.2;37;5
86;09-Mar-01;23.08.36;-9.02;118.9;100;4.5
87;16-Mar-01;15.40.38;-8.61;119.39;167;4.9
88;23-Mar-01;06.55.42;-10.49;113.81;10;5.2
89;03-Apr-01;21.22.00;-7.23;120.45;597;5.1
90;12-Apr-01;01.13.15;-7.71;117.08;300;4.3
91;28-Apr-01;13.18.04;-8.07;117.28;195;4.6
92;18-May-01;11.57.14;-10.26;120.01;40;4.9
93;23-May-01;21.27.23;-10.28;120.18;26;5.3
94;25-May-01;08.43.13;-7.31;120.87;575;4.7
95;28-May-01;10.30.18;-7.63;116.98;300;4.2
96;02-Aug-01;08.45.27;-9.34;121.96;33;5
97;07-Aug-01;03.22.38;-8.69;113.66;96;5.4
98;09-Aug-01;08.56.25;-11.12;117.97;30;4.6
99;09-Aug-01;13.20.19;-7.46;120.59;32;5.4
