K,cluster,n,best_jaccard
6,0,161,0.8977272727272727
6,1,26,0.7878787878787878
6,2,14,0.3181818181818182
6,3,15,0.25
6,4,11,0.7857142857142857
6,5,15,0.6818181818181818
6,6,17,0.08571428571428572
6,7,18,0.46153846153846156
7,0,161,0.9813664596273292
7,1,26,0.896551724137931
7,2,14,0.391304347826087
7,3,15,0.2692307692307692
7,4,11,0.25806451612903225
7,5,15,0.625
7,6,17,1.0
7,7,18,0.4838709677419355
8,0,161,1.0
8,1,26,1.0
8,2,14,1.0
8,3,15,1.0
8,4,11,1.0
8,5,15,1.0
8,6,17,1.0
8,7,18,1.0
9,0,161,0.6341463414634146
9,1,26,0.6896551724137931
9,2,14,0.4117647058823529
9,3,15,0.34615384615384615
9,4,11,0.2916666666666667
9,5,15,0.4
9,6,17,1.0
9,7,18,0.52
10,0,161,0.9813664596273292
10,1,26,0.7037037037037037
10,2,14,0.3684210526315789
10,3,15,0.8
10,4,11,0.4117647058823529
10,5,15,0.8125
10,6,17,1.0
10,7,18,0.4230769230769231
