no,lat,lon,depth,mw,dt,east_km,north_km,log_eta,triggered
739,-8.29,117.23,29,4.579502161,2010-01-04 18:07:44,525.3276450113464,9083.634643121099,,False
950,-8.68,116.57,10,4.650744172,2010-04-01 20:09:43,452.69575660934083,9040.499038691774,1.8416850505459175,False
965,-8.35,116.55,32,4.10719675,2010-04-08 02:18:56,450.4530876783184,9076.980519580493,0.04315784367503088,False
1329,-8.25,116.11,12,4.329594841,2010-11-11 08:05:42,401.9795943907138,9087.95484632673,2.0397895185674657,False
1330,-8.23,116.07,10,4.281031718,2010-11-11 08:06:55,397.5686727382471,9090.156142778738,-4.879079258575697,True
1337,-8.18,116.06,18,4.034166124,2010-11-15 12:52:54,396.4542204386623,9095.68192072415,-1.0342655730847028,False
1339,-8.24,116.1,10,4.425265091,2010-11-15 23:26:42,400.87566371798306,9089.058037722561,-1.9372438018784228,False
1519,-8.28,116.11,23,4.253963445,2011-03-30 13:09:15,401.9870016627248,9084.637870547473,0.06611121757953771,False
1530,-8.18,116.06,10,4.269562198,2011-04-12 12:35:05,396.4542204386623,9095.68192072415,-0.9105119912446876,False
1531,-8.01,116.08,10,4.131386048,2011-04-12 17:14:59,398.6150038564346,9114.48320219865,-1.5147832671521781,False
1532,-8.25,116.02,25,4.229091327,2011-04-12 20:42:03,392.0665282497308,9087.931631468493,-1.7991068031946786,False
1548,-8.31,116.02,20,4.279798144,2011-04-25 16:11:20,392.08287099347706,9081.297510946386,-0.38093024170267764,False
1584,-8.36,116.96,10,4.052483646,2011-05-31 00:42:18,495.5959854808334,9075.903017092673,1.906616533424698,False
3029,-8.36,116.23,17,4.165794755,2012-10-08 13:18:27,415.22026654792614,9075.820409902937,1.8358567588340375,False
3643,-8.44,116.04,16,5.072359857,2013-06-22 05:42:37,394.3205438960182,9066.928988301383,1.8397828982760829,False
3660,-8.43,117.2,10,4.406022159,2013-07-18 08:09:37,522.0161700858747,9068.158847820196,1.0778357135210592,False
3661,-8.44,117.19,10,4.908308171,2013-07-18 15:43:10,520.9148198153022,9067.053851884002,-3.1872734161135208,True
3662,-8.46,117.23,10,4.50538924,2013-07-18 19:33:00,525.3166562901799,9064.840385694482,-3.2213666002631385,True
3676,-8.09,116.16,11,5.805703489,2013-08-21 04:43:14,407.44989153880164,9105.657008618726,0.6517783364451131,False
3689,-8.32,117.25,11,4.221043185,2013-09-05 17:51:56,527.5279715561875,9080.316686295948,0.03454000201991458,False
3881,-7.97,117.2,23,4.183989493,2013-12-07 15:12:46,522.041489004853,9119.01335881309,0.842408938319758,False
3903,-8.31,116.06,10,4.224239521,2013-12-15 14:19:37,396.48804115347673,9081.308179547243,-0.13998962809354462,False
4069,-8.25,117.2,10,4.14167065,2014-03-31 12:20:31,522.0262455454127,9088.058577056358,0.9957609224789317,False
4070,-8.36,117.22,10,4.346800306,2014-03-31 12:24:09,524.222135346127,9075.896479374152,-3.560960274285087,True
4288,-8.28,116.15,10,4.417725629,2014-08-21 10:22:11,406.39239944910213,9084.647504640252,0.1916588088664992,False
4326,-8.33,116.02,14,4.430118054,2014-09-17 16:41:32,392.08834471760537,9079.086133141105,0.3243446568013576,False
4335,-8.33,116.94,10,4.272189143,2014-09-22 18:42:34,493.393473505924,9079.219342320348,0.8925572488864236,False
4856,-8.43,116.03,13,4.570052285,2015-05-04 10:21:24,393.2168693122148,9068.031958492338,-0.5641045527582323,False
4958,-8.29,116.1,10,4.534863105,2015-06-28 11:37:42,400.8881479400416,9083.529730207512,0.5232766316512641,False
5236,-8.24,116.22,10,4.125052159,2015-11-24 21:42:21,414.0930907825557,9089.085811956562,0.4313093069424079,False
5381,-8.21,116.81,10,4.130200957,2016-02-03 14:42:50,479.07297156254424,9092.481250095812,1.4401349116212905,False
5544,-8.5,116.06,13,4.623892592,2016-03-31 09:34:44,396.53842421596755,9060.300239628368,0.6521310228690989,False
5671,-8.33,117.14,14,4.190283733,2016-05-23 07:19:19,515.4152405634367,9079.217115004496,1.2879151990702244,False
5875,-8.73,115.91,10,4.065430375,2016-08-18 21:03:36,380.0992950848072,9034.824934967228,1.2918224568942371,False
5894,-8.29,116.03,10,4.07158269,2016-08-28 16:46:58,393.1787633045016,9083.511589106154,0.826901121118827,False
6067,-8.48,115.92,21,4.557088001,2016-11-23 16:21:33,381.12145505630934,9062.471544687705,1.0532380590406705,False
6170,-8.53,116.85,23,4.020784119,2017-01-29 02:04:03,483.4921546518792,9057.105857261464,1.7369404203171903,False
6172,-8.48,116.86,14,4.139075686,2017-01-29 19:41:10,484.5906822567676,9062.634002635068,-1.5136109512560607,False
7138,-8.26,115.96,10,4.055226734,2017-11-13 17:09:18,385.46055807525005,9086.809207736287,1.0376852911308847,False
7265,-8.41,116.96,10,4.216292843,2017-12-30 01:18:54,495.59654822334085,9070.375333198685,1.6201075694847058,False
7286,-8.89,116.87,10,4.061628511,2018-01-03 05:16:20,485.7068795791243,9017.306574188504,0.6014097507384759,False
7392,-8.29,116.73,13,4.484906106,2018-02-01 22:02:41,470.267518030476,9083.631871935557,1.0664225087347694,False
7393,-7.95,115.84,21,4.650714764,2018-02-02 05:59:14,372.14495887990444,9121.050692774716,-0.32687580085463874,False
