K,silhouette,davies_bouldin,calinski_harabasz,gap,gap_sk,ari_boot,ari_boot_sd
2,0.5266202739230202,1.052639737098493,176.78416081922035,0.6733264462638369,0.031173953189966498,0.9774444214211399,0.041297257647284126
3,0.5444649678159501,1.1540243792757832,156.46570613070054,0.5825792317248133,0.031101909309905244,0.913538890837403,0.06918369149034052
4,0.5569779784590952,1.063100864423089,150.50797395675502,0.5671149192390994,0.036269026372673506,0.9399672582181627,0.052065989163363205
5,0.5327528087050549,1.0745305637294593,136.7731987978963,0.5217408092403584,0.02811527701765097,0.8855893658125197,0.07446727206157307
6,0.5331630275260265,1.0919531841211783,129.7695609715635,0.4932504065189054,0.034420067103747204,0.8751023577078826,0.0830006028597945
7,0.4994457041531291,0.9453501155992355,129.0398192060367,0.6145007151609426,0.02852701262958123,0.8602467010440151,0.0986467519924117
8,0.48523349475808103,1.0703371761487988,116.77816912379913,0.4475886145380876,0.03214167769586774,0.7978061902364256,0.16674032695147212
9,0.32825507074958615,1.041492329773172,113.99603160508343,0.522879791452569,0.029918422488667912,0.5641188780725465,0.10309010829291688
10,0.4925852585254645,1.0853344112748753,116.7012830496016,0.5123320420972388,0.027735986444125133,0.7532593345178921,0.20055439985671014
11,0.3098212486555672,1.065925905415378,111.46761477371183,0.5455156412968377,0.027300785407423072,0.6388938403734538,0.16505779094550632
12,0.4962272715334501,1.047187863163296,115.51017814061257,0.559267609754886,0.025687362603813234,0.6933251424783942,0.1922975954290269
13,0.3377039010967928,1.0448750372220719,116.96031640405018,0.5716769940628693,0.02808472112664523,0.6841432381931082,0.15595386824523927
14,0.3474979549302521,1.0260784695206244,115.23783070032123,0.5859427269928739,0.02855366714055006,0.7193291814649305,0.1549790450725115
15,0.3577290320075818,0.9869666949537824,113.3396521909671,0.5624773448961894,0.02929671626658115,0.7681655298611073,0.1321710029259827
