pair,b_a,b_b,delta_b,combined_se,n_sigma,utsu_p,q_value,significant_fdr05
C3-C4,0.58,0.97,-0.39,0.18384776310850237,2.1213203435596424,0.037190520877196445,0.3676704325993065,False
C8-C3,1.01,0.58,0.43000000000000005,0.19104973174542803,2.250722867137919,0.057662653500012206,0.3676704325993065,False
C2-C3,0.92,0.58,0.3400000000000001,0.17691806012954134,1.9217936244103533,0.0671234592985061,0.3676704325993065,False
C5-C3,1.0,0.58,0.42000000000000004,0.22203603311174516,1.8915848662663892,0.0674865730021565,0.3676704325993065,False
C1-C3,1.05,0.58,0.4700000000000001,0.22203603311174516,2.116773540821912,0.07244701736088137,0.3676704325993065,False
C3-C7,0.58,0.94,-0.36,0.19849433241279207,1.813653798695562,0.10860176194849348,0.3676704325993065,False
C3-C6,0.58,0.85,-0.27,0.19849433241279207,1.3602403490216717,0.1901626183234315,0.3676704325993065,False
C1-C6,1.05,0.85,0.20000000000000007,0.23430749027719963,0.8535791995526401,0.30946322800646037,0.3676704325993065,False
C8-C6,1.01,0.85,0.16000000000000003,0.20518284528683192,0.779792286125727,0.3201514096887684,0.3676704325993065,False
C5-C6,1.0,0.85,0.15000000000000002,0.23430749027719963,0.6401843996644799,0.3266475025491302,0.3676704325993065,False
C4-C6,0.97,0.85,0.12,0.19849433241279207,0.6045512662318541,0.33204965293338795,0.3676704325993065,False
C1-C2,1.05,0.92,0.13,0.21633307652783934,0.6009252125773317,0.3333525955393506,0.3676704325993065,False
C8-C2,1.01,0.92,0.08999999999999997,0.18439088914585774,0.4880935300919762,0.34459710250995756,0.3676704325993065,False
C1-C7,1.05,0.94,0.1100000000000001,0.23430749027719963,0.4694685597539523,0.3488923310399628,0.3676704325993065,False
C5-C2,1.0,0.92,0.07999999999999996,0.21633307652783934,0.3698001308168193,0.35016752584898175,0.3676704325993065,False
C6-C7,0.85,0.94,-0.08999999999999997,0.21213203435596426,0.4242640687119284,0.35253578241218847,0.3676704325993065,False
C1-C4,1.05,0.97,0.08000000000000007,0.22203603311174516,0.36030187928883634,0.3543869097998389,0.3676704325993065,False
C2-C6,0.92,0.85,0.07000000000000006,0.19209372712298545,0.3644054444067478,0.3552950010480971,0.3676704325993065,False
C2-C4,0.92,0.97,-0.04999999999999993,0.17691806012954134,0.2826167094721104,0.35654127537242225,0.3676704325993065,False
C8-C7,1.01,0.94,0.07000000000000006,0.20518284528683192,0.34115912518000585,0.3579274975269822,0.3676704325993065,False
C5-C7,1.0,0.94,0.06000000000000005,0.23430749027719963,0.25607375986579217,0.3607598685678585,0.3676704325993065,False
C8-C4,1.01,0.97,0.040000000000000036,0.19104973174542803,0.20936956903608564,0.36309467131419937,0.3676704325993065,False
C1-C5,1.05,1.0,0.050000000000000044,0.2545584412271571,0.1964185503295967,0.36385637465291815,0.3676704325993065,False
C8-C1,1.01,1.05,-0.040000000000000036,0.2280350850198276,0.175411603861406,0.36523225608156357,0.3676704325993065,False
C5-C4,1.0,0.97,0.030000000000000027,0.22203603311174516,0.13511320473331362,0.36530749975771026,0.3676704325993065,False
C4-C7,0.97,0.94,0.030000000000000027,0.19849433241279207,0.15113781655796366,0.3653909005945061,0.3676704325993065,False
C2-C7,0.92,0.94,-0.019999999999999907,0.19209372712298545,0.10411584125907024,0.3667794450029201,0.3676704325993065,False
C8-C5,1.01,1.0,0.010000000000000009,0.2280350850198276,0.0438529009653515,0.3676704325993065,0.3676704325993065,False
