no,lat,lon,depth,mw,dt,east_km,north_km,t_days,g
732,-8.62,116.18,56,3.826539573,2009-12-30 07:10:42,409.77548222222214,9047.06236432783,0.0,1
739,-8.29,117.23,29,4.579502161,2010-01-04 18:07:44,525.3276450113464,9083.634643121099,5.456273148148148,2
787,-8.62,116.82,30,3.755315428,2010-02-10 16:00:28,480.195236817969,9047.15447440064,42.36789351851852,2
845,-8.41,116.51,46,3.74441322,2010-03-01 17:49:04,446.0570862902903,9070.3418216211,61.44331018518518,2
853,-8.53,116.09,10,3.704407145,2010-03-07 23:13:54,399.8484624511832,9056.991086148704,67.66888888888889,1
950,-8.68,116.57,10,4.650744172,2010-04-01 20:09:43,452.69575660934083,9040.499038691774,92.5409837962963,1
951,-8.87,116.83,38,3.896958172,2010-04-02 01:13:47,481.30797272554395,9019.515934193656,92.7521412037037,1
965,-8.35,116.55,32,4.10719675,2010-04-08 02:18:56,450.4530876783184,9076.980519580493,98.79738425925926,2
1091,-8.35,117.19,11,3.920794715,2010-05-25 22:55:54,520.9196370045205,9077.003738333324,146.6563888888889,2
1105,-8.27,115.93,11,3.918985026,2010-05-29 20:08:48,382.1591388631056,9085.69474955194,150.5403472222222,0
1124,-8.38,116.07,16,3.728088123,2010-06-12 11:43:52,397.6075604185664,9073.571054013595,164.18969907407407,0
1329,-8.25,116.11,12,4.329594841,2010-11-11 08:05:42,401.9795943907138,9087.95484632673,316.03819444444446,0
1330,-8.23,116.07,10,4.281031718,2010-11-11 08:06:55,397.5686727382471,9090.156142778738,316.03903935185184,0
1337,-8.18,116.06,18,4.034166124,2010-11-15 12:52:54,396.4542204386623,9095.68192072415,320.2376388888889,0
1338,-8.3,116.09,10,3.941301191,2010-11-15 13:12:09,399.789349979597,9082.4215557499,320.25100694444444,0
1339,-8.24,116.1,10,4.425265091,2010-11-15 23:26:42,400.87566371798306,9089.058037722561,320.6777777777778,0
1352,-8.62,116.3,14,3.706690144,2010-11-22 05:08:58,422.9797560144088,9047.088617199981,326.915462962963,1
1519,-8.28,116.11,23,4.253963445,2011-03-30 13:09:15,401.9870016627248,9084.637870547473,455.24899305555556,0
1524,-8.3,116.01,15,3.80399654,2011-04-05 17:02:01,390.9788107536399,9082.400465602152,461.4106365740741,0
1529,-8.79,115.88,10,3.781446453,2011-04-12 11:16:56,376.8186312579622,9028.180708296726,468.17099537037035,1
1530,-8.18,116.06,10,4.269562198,2011-04-12 12:35:05,396.4542204386623,9095.68192072415,468.2252662037037,0
