K,silhouette,davies_bouldin,calinski_harabasz,gap,ari_boot,ari_boot_p05
2,0.4058249851447055,0.9838946840679123,1189.507158637885,0.7727395697252857,0.9491037217798663,0.6634662346119529
3,0.45404762671090915,0.7581241659608291,1480.3785487966557,0.6998231808326065,0.9803051590147631,0.9541416084557748
4,0.3995022997085572,0.8187677416795853,1441.401650469162,0.5192902877623866,0.8250672553753675,0.5909439449212068
5,0.3818135196520506,0.8526300079195537,1437.032359702879,0.5469250051370471,0.9306902422526272,0.862558171440123
6,0.38195860831229217,0.8161559176309708,1392.572617173808,0.5616993330539612,0.8002162305881867,0.580753472335104
7,0.38672494425687104,0.8390631953932651,1419.809040807887,0.528963936623073,0.8722890130041012,0.7425342642609053
8,0.3953419166355881,0.8468228040784143,1402.130174005827,0.41178303806189165,0.8525046879340185,0.7508084811811638
9,0.39862065615987513,0.8223049471264282,1434.1614940661427,0.36957264726593575,0.8978146441649308,0.7338057266101286
10,0.4032864932626019,0.7840229656820814,1428.9754865723799,0.3898703204024141,0.8305375388134348,0.7058809512525193
11,0.38458207677021783,0.8294219063053976,1432.072016890587,0.386954893199424,0.7822128489272754,0.6291127560103973
12,0.3831205749451801,0.7996548377313428,1452.2781392979286,0.38171304726990263,0.7694813974468745,0.6032166513594955
